sw15001to149,sw250to251,sw300to350,sw450to451,sw95to195,sw13to152,sw18to135,sw60to160,sw61to6101,sw97to197,sw54to94,sw151to300
0,1,1,0,0,1,0,1,1,1,0,1
0,1,1,0,0,1,1,1,1,1,0,0
0,1,1,0,0,1,1,1,1,0,0,1
0,1,1,0,0,1,1,0,1,1,0,1
0,1,1,1,0,1,1,0,1,0,0,1
0,1,1,1,0,1,1,0,1,0,0,1
0,1,1,1,0,1,1,0,1,1,0,0
0,1,1,0,1,1,1,0,1,1,0,0
0,1,1,1,0,1,0,0,1,1,0,1
0,1,1,0,1,1,0,0,1,1,0,1
0,1,1,0,0,0,1,1,1,1,0,1
0,1,1,1,0,0,0,1,1,1,0,1
0,1,1,0,1,0,1,1,1,0,0,1
0,1,1,1,0,0,1,1,1,1,0,0
0,1,1,0,1,0,1,1,1,1,0,0
0,1,1,1,0,0,0,1,1,1,0,1
0,1,1,0,1,0,1,1,1,0,0,1
1,0,1,0,0,1,0,1,1,1,0,1
1,0,1,1,0,1,1,0,1,1,0,0
1,0,1,1,0,1,1,0,1,0,0,1
1,0,1,0,0,1,1,0,1,1,0,1
1,0,1,0,1,1,1,0,1,0,0,1
1,0,1,1,0,1,0,0,1,1,0,1
1,0,1,1,0,1,1,0,1,1,0,0
1,0,1,0,1,1,1,0,1,1,0,0
1,0,1,1,0,1,0,0,1,1,0,1
1,0,1,0,1,1,1,0,1,0,0,1
1,0,1,0,0,0,1,1,1,1,0,1
1,0,1,1,0,0,1,1,1,0,0,1
1,0,1,0,1,0,1,1,1,0,0,1
1,0,1,1,0,0,1,1,1,1,0,0
1,0,1,0,1,0,1,1,1,1,0,0
1,0,1,1,0,0,0,1,1,1,0,1
1,0,1,0,1,0,0,1,1,1,0,1
0,0,1,1,0,1,1,0,1,1,0,1
0,0,1,1,0,0,1,1,1,1,0,1
0,0,1,1,0,1,0,1,1,1,0,1
0,0,1,1,0,1,1,1,1,1,0,0
0,0,1,1,0,1,1,1,1,0,0,1
0,0,1,0,1,1,1,0,1,1,0,1
0,0,1,0,1,0,1,1,1,1,0,1
0,0,1,0,1,1,0,1,1,1,0,1
0,0,1,0,1,1,1,1,1,1,0,0
0,0,1,0,1,1,1,1,1,0,0,1
0,1,1,0,0,1,0,0,1,1,1,1
0,1,1,0,0,1,1,0,1,1,1,0
0,1,1,0,0,1,1,0,1,0,1,1
0,1,1,0,0,1,1,0,1,1,0,1
0,1,1,1,0,1,1,0,1,0,0,1
0,1,1,1,0,1,1,0,1,0,0,1
0,1,1,1,0,1,1,0,1,1,0,0
0,1,1,0,1,1,1,0,1,1,0,0
0,1,1,1,0,1,0,0,1,1,0,1
0,1,1,0,1,1,0,0,1,1,0,1
0,1,1,0,0,0,1,0,1,1,1,1
0,1,1,1,0,0,0,0,1,1,1,1
0,1,1,0,1,0,1,0,1,0,1,1
0,1,1,1,0,0,1,0,1,1,1,0
0,1,1,0,1,0,1,0,1,1,1,0
0,1,1,1,0,0,0,0,1,1,1,1
0,1,1,0,1,0,1,0,1,0,1,1
1,0,1,0,0,1,0,0,1,1,1,1
1,0,1,1,0,1,1,0,1,1,0,0
1,0,1,1,0,1,1,0,1,0,0,1
1,0,1,0,0,1,1,0,1,1,0,1
1,0,1,0,1,1,1,0,1,0,0,1
1,0,1,1,0,1,0,0,1,1,0,1
1,0,1,1,0,1,1,0,1,1,0,0
1,0,1,0,1,1,1,0,1,1,0,0
1,0,1,1,0,1,0,0,1,1,0,1
1,0,1,0,1,1,1,0,1,0,0,1
1,0,1,0,0,0,1,0,1,1,1,1
1,0,1,1,0,0,1,0,1,0,1,1
1,0,1,0,1,0,1,0,1,0,1,1
1,0,1,1,0,0,1,0,1,1,1,0
1,0,1,0,1,0,1,0,1,1,1,0
1,0,1,1,0,0,0,0,1,1,1,1
1,0,1,0,1,0,0,0,1,1,1,1
0,0,1,1,0,1,1,0,1,1,0,1
0,0,1,1,0,0,1,0,1,1,1,1
0,0,1,1,0,1,0,0,1,1,1,1
0,0,1,1,0,1,1,0,1,1,1,0
0,0,1,1,0,1,1,0,1,0,1,1
0,0,1,0,1,1,1,0,1,1,0,1
0,0,1,0,1,0,1,0,1,1,1,1
0,0,1,0,1,1,0,0,1,1,1,1
0,0,1,0,1,1,1,0,1,1,1,0
0,0,1,0,1,1,1,0,1,0,1,1
